id,collection_slug,product_family,template_family,art_strategy_internal,preview_style,style_variant,storefront_preview_style,preview_artifacts_json,title,status,launch_status,printify_publish_status,shopify_sync_status,printify_product_id,shopify_product_id,needs_manual_personalization_setup,manual_setup_status,manual_setup_packet_path,customer_editable_summary,customizable_badge_text,personalization_cta,editable_fields_summary,supports_photo_upload,supports_logo_upload,supports_text_edit,storefront_personalization_headline,storefront_personalization_subtext,storefront_badges,personalization_hub_ready,requires_shopify_republish_for_personalization,printify_personalize_button_required,variant_visibility_recommended,shipping_profile_recommended,shipping_mode_recommended,sync_details_recommended,collections_recommended,should_enable_personalization,personalization_toggle_manual_required,personalize_button_theme_block_required,requires_new_listing_for_personalization_if_already_published,publish_retry_eligible,publish_attempt_count,featured_flag,merchandising_priority,stock_mode,in_stock_only,show_all_variants,enabled_sizes_json,enabled_colors_json,profile_resolved,blueprint_id,provider_id,matched_variant_count,enabled_variant_count_before_filter,enabled_variant_count_after_filter,error_stage,error_message,printify_publish_error,last_publish_response,last_sync_response
1,bridal-party,tee,text_only,script_nameplate,,soft_script,,{},Bridesmaid Name & Role Personalized T-Shirt,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 2 fields | Image uploads: 0 | Logo uploads: 0,Personalizable,Customize with your details,Text: 2 fields | Image uploads: 0 | Logo uploads: 0,NO,NO,YES,Make it yours,"Add your name, date, photo, or logo before checkout",Custom Text,NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Bridal Party,YES,YES,YES,NO,NO,0,NO,10,in_stock_only,YES,NO,"[""S"", ""M"", ""L"", ""XL"", ""2XL""]","[""White"", ""Black"", ""Sport Grey"", ""Navy"", ""Light Pink""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
2,bridal-party,tee,text_only,script_nameplate,,varsity_block,,{},Maid of Honor Personalized T-Shirt,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 2 fields | Image uploads: 0 | Logo uploads: 0,Personalizable,Customize with your details,Text: 2 fields | Image uploads: 0 | Logo uploads: 0,NO,NO,YES,Make it yours,"Add your name, date, photo, or logo before checkout",Custom Text,NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Bridal Party,YES,YES,YES,NO,NO,0,NO,10,in_stock_only,YES,NO,"[""S"", ""M"", ""L"", ""XL"", ""2XL""]","[""White"", ""Black"", ""Sport Grey"", ""Navy"", ""Light Pink""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
3,bridal-party,hoodie,monogram_badge,monogram_frame,,monogram_frame,,{},Bride Crew Custom Hoodie,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 2 fields | Image uploads: 0 | Logo uploads: 1,Personalizable,Customize with your details,Text: 2 fields | Image uploads: 0 | Logo uploads: 1,NO,YES,YES,Make it yours,"Add your name, date, photo, or logo before checkout","Custom Text, Logo Upload",NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Bridal Party,YES,YES,YES,NO,NO,0,NO,10,in_stock_only,YES,NO,"[""S"", ""M"", ""L"", ""XL"", ""2XL"", ""3XL"", ""4XL"", ""5XL""]","[""White"", ""Black"", ""Sport Grey"", ""Ash"", ""Sand"", ""Navy"", ""Maroon"", ""Military Green""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
4,bridal-party,hoodie,monogram_badge,monogram_frame,,crest_badge,,{},Groom Crew Custom Hoodie,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 2 fields | Image uploads: 0 | Logo uploads: 1,Personalizable,Customize with your details,Text: 2 fields | Image uploads: 0 | Logo uploads: 1,NO,YES,YES,Make it yours,"Add your name, date, photo, or logo before checkout","Custom Text, Logo Upload",NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Bridal Party,YES,YES,YES,NO,NO,0,NO,10,in_stock_only,YES,NO,"[""S"", ""M"", ""L"", ""XL"", ""2XL"", ""3XL"", ""4XL"", ""5XL""]","[""White"", ""Black"", ""Sport Grey"", ""Ash"", ""Sand"", ""Navy"", ""Maroon"", ""Military Green""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
5,bridal-party,tee,text_only,stacked_text,,western_bach,,{},Bach Weekend Personalized T-Shirt,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 2 fields | Image uploads: 0 | Logo uploads: 0,Personalizable,Customize with your details,Text: 2 fields | Image uploads: 0 | Logo uploads: 0,NO,NO,YES,Make it yours,"Add your name, date, photo, or logo before checkout",Custom Text,NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Bridal Party,YES,YES,YES,NO,NO,0,NO,10,in_stock_only,YES,NO,"[""S"", ""M"", ""L"", ""XL"", ""2XL""]","[""White"", ""Black"", ""Sport Grey"", ""Navy"", ""Light Pink""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
6,family-reunion,tee,text_plus_photo,script_nameplate,,retro_arch,,{},Family Reunion Personalized T-Shirt,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 3 fields | Image uploads: 1 | Logo uploads: 1,Personalizable,Customize with your details,Text: 3 fields | Image uploads: 1 | Logo uploads: 1,YES,YES,YES,Make it yours,"Add your name, date, photo, or logo before checkout","Custom Text, Photo Upload, Logo Upload",NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Family Reunion,YES,YES,YES,NO,NO,0,NO,20,in_stock_only,YES,NO,"[""S"", ""M"", ""L"", ""XL"", ""2XL""]","[""White"", ""Black"", ""Sport Grey"", ""Navy"", ""Light Pink""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
7,family-reunion,hoodie,text_plus_photo,script_nameplate,,crest_badge,,{},Cousin Crew Reunion Hoodie,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 3 fields | Image uploads: 1 | Logo uploads: 1,Personalizable,Customize with your details,Text: 3 fields | Image uploads: 1 | Logo uploads: 1,YES,YES,YES,Make it yours,"Add your name, date, photo, or logo before checkout","Custom Text, Photo Upload, Logo Upload",NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Family Reunion,YES,YES,YES,NO,NO,0,NO,20,in_stock_only,YES,NO,"[""S"", ""M"", ""L"", ""XL"", ""2XL"", ""3XL"", ""4XL"", ""5XL""]","[""White"", ""Black"", ""Sport Grey"", ""Ash"", ""Sand"", ""Navy"", ""Maroon"", ""Military Green""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
8,family-reunion,mug,text_plus_photo,wrap_mug,,photo_postcard,,{},Family Name Reunion Color Mug,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,BLOCKED_PROFILE,,,NO,deferred_blocked_profile,,Text: 3 fields | Image uploads: 1 | Logo uploads: 1,Personalizable,Customize with your details,Text: 3 fields | Image uploads: 1 | Logo uploads: 1,YES,YES,YES,Make it yours,"Add your name, date, photo, or logo before checkout","Custom Text, Photo Upload, Logo Upload",NO,NO,YES,in_stock_only,use_store_default,standard_only,"product_title,description,mockups,colors_sizes_prices_skus,tags,shipping_profile",Family Reunion,YES,YES,YES,NO,NO,0,NO,20,in_stock_only,YES,NO,"[""11oz"", ""15oz""]","[""Black"", ""Navy"", ""Cambridge Blue"", ""Light Blue"", ""Green"", ""Light Green"", ""Yellow"", ""Pink"", ""Golden Yellow"", ""Orange"", ""Red"", ""Maroon""]",NO,0,0,0,0,0,PROFILE,Unresolved profile metadata: blueprint/provider/variant IDs missing. Run Printify profile resolver.,,"{""missing"": ""blueprint, provider, variant IDs""}",
